,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
12,60,604,1,1990,-2,1,1,12,7,-2,3,-1,4,-1,2,2,2007,-2,1,-1,421,1,-2,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
30,175,1705,2,1985,-2,1,1,11,4,2,3,4,2,6,6,1,2002,1,1,540,620,1,20,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
165,868,8602,2,1952,-2,1,1,3,4,2,3,0,1,-2,-2,1,1984,-8,-8,-1,-5,-2,-2,16.0,1.0,-2.0,-2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,32
168,868,8605,1,1978,-2,1,1,3,4,2,3,2,2,-2,2,1,1995,1,2,220,530,1,1,24.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
169,868,8606,1,1982,-2,1,1,2,4,2,3,1,2,2,2,1,1999,1,2,220,530,1,1,16.0,4.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,1.0,-2.0,17
183,922,9203,2,1980,-2,1,1,3,4,2,3,2,4,2,2,1,1997,1,1,530,530,1,-2,19.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,17
184,922,9204,1,1982,-2,1,1,2,4,2,3,2,4,2,2,1,1999,1,1,530,12,1,-2,23.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6.0,-2.0,-2.0,-2.0,17
200,981,9804,2,1992,-2,1,1,2,7,-2,3,4,4,1,2,1,2009,1,1,540,530,1,120,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
201,981,9805,1,1994,-2,1,1,1,7,-2,3,4,4,1,2,1,2011,1,1,540,530,1,120,19.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
205,990,9904,2,1979,-2,1,1,11,4,2,3,4,2,2,2,1,1996,1,1,12,530,23,1,20.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
206,990,9905,1,1981,-2,1,1,-1,-1,2,3,4,2,6,2,1,1998,1,1,640,530,23,1,21.0,3.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
230,1082,10804,1,1977,-2,1,1,12,3,2,3,4,2,6,6,1,1994,1,1,400,10,1,10,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
231,1082,10805,2,1981,-2,1,1,9,4,2,3,4,3,6,6,1,1998,1,1,420,10,1,10,18.0,3.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,6.0,-2.0,17
729,3050,30502,1,1976,-2,1,1,3,3,2,3,6,4,-2,-2,-1,1993,2,1,12,640,1,119,,,,,,,,,,,,,,,,,,,,,,,,17
830,3450,34504,1,1975,-2,1,1,10,3,2,3,1,1,2,2,4,1994,1,1,240,522,222,1,17.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,30.0,-2.0,-2.0,-1.0,2.0,-1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,19
887,3697,36903,1,1977,-2,1,1,9,4,2,3,1,1,6,2,1,1994,1,1,230,522,-2,1,23.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
982,4162,41602,2,1956,-2,1,1,12,4,2,3,2,2,-2,-2,1,1984,-8,-8,540,-5,-2,-2,15.0,4.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28
983,4162,41603,2,1983,-2,1,1,7,4,2,3,4,4,1,2,1,2000,2,1,540,10,1,117,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
984,4162,41604,2,1984,-2,1,1,9,4,2,3,4,4,1,2,1,2001,2,1,540,10,1,117,18.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
985,4162,41605,2,1989,-2,1,1,3,7,2,3,4,4,1,2,-1,2006,2,1,540,10,1,117,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
1199,5126,51203,1,1980,-2,1,1,7,3,2,3,3,4,6,1,1,1997,1,1,430,431,26,-2,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,1.0,-2.0,17
1200,5126,51204,2,1989,-2,1,1,5,7,2,3,1,4,2,6,1,2006,1,1,424,530,26,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
1488,6246,62407,1,1993,-2,1,1,8,7,-2,3,2,5,1,6,1,2010,1,1,522,530,64,64,18.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
1737,7170,71701,1,1951,-2,1,1,3,4,2,3,1,1,-2,-2,4,1984,-8,-8,210,-5,-2,-2,18.0,1.0,-2.0,-2.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,33
1739,7170,71703,1,1978,-2,1,1,2,4,2,3,2,1,2,2,4,1995,1,1,540,220,1,1,21.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
1740,7170,71704,1,1980,-2,1,1,3,4,2,3,2,1,2,2,4,1997,1,1,540,220,1,1,15.0,1.0,-2.0,-2.0,1.0,0.0,11.0,-2.0,-2.0,-2.0,3.0,2.0,28.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,4.0,-2.0,17
1891,7757,77507,2,1990,-2,1,1,9,7,-2,3,1,1,6,2,3,2007,2,1,230,12,1,1,18.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2030,8133,81306,2,1985,-2,1,1,10,4,2,3,1,2,1,2,4,2002,2,1,210,210,1,-8,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2092,8354,83504,1,1975,-2,1,1,5,3,2,3,1,1,-2,-2,-1,1992,1,1,540,10,1,-2,20.0,8.0,-2.0,-2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2157,8540,85403,1,1975,-2,1,1,3,3,2,3,1,1,6,2,-1,1992,1,1,220,530,222,1,-1.0,9.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2173,8605,86003,1,1922,-2,1,1,6,4,2,3,0,-1,2,2,3,2002,2,-1,220,220,-2,-2,-1.0,6.0,-1.0,2.0,1.0,-1.0,12.0,-2.0,-2.0,-2.0,1.0,2.0,-1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,80
2242,8869,88603,1,1980,-2,1,1,6,4,2,3,1,1,2,6,2,1997,1,1,230,10,1,1,19.0,3.0,-2.0,-2.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2243,8869,88604,1,1982,-2,1,1,5,4,2,3,1,1,2,6,1,1999,1,1,230,10,1,1,22.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,17
2244,8869,88605,1,1986,-2,1,1,5,3,2,3,1,1,6,6,2,2003,1,1,230,210,1,1,19.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2245,8869,88606,2,1987,-2,1,1,6,1,2,3,1,1,6,6,1,2004,1,1,230,210,1,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2285,8974,89703,2,1976,-2,1,1,2,3,2,3,4,4,2,2,-1,1993,1,1,540,530,105,1,20.0,8.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2286,8974,89704,2,1979,-2,1,1,4,4,2,3,4,4,2,2,2,1996,1,1,540,530,105,1,19.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,1.0,2.0,-2.0,17
2359,9245,92403,1,1982,-2,1,1,12,3,2,3,4,1,2,2,3,1999,1,1,430,230,1,1,15.0,4.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,1.0,-2.0,17
2859,11258,112505,2,1976,-2,1,1,9,5,2,3,1,1,2,2,-1,1993,1,1,240,10,117,1,,,,,,,,,,,,,,,,,,,,,,,,17
2860,11258,112506,1,1983,-2,1,1,11,4,2,3,1,1,2,2,1,2000,1,1,230,10,117,1,20.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2861,11258,112507,2,1978,-2,1,1,8,4,2,3,1,1,2,2,1,1995,1,1,200,10,117,1,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2862,11258,112508,1,1980,-2,1,1,2,4,2,3,1,1,2,2,1,1997,1,1,230,10,117,1,18.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2908,11495,114903,1,1982,-2,1,1,4,4,2,3,2,1,1,1,1,1999,1,1,540,10,22,1,21.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,17
2909,11495,114904,2,1984,-2,1,1,7,4,2,3,2,1,1,1,1,2001,1,1,540,10,22,1,19.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
2910,11495,114905,1,1991,-2,1,1,7,7,-2,3,2,1,1,1,1,2008,1,1,540,10,22,1,19.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3204,12742,127402,1,1979,-2,1,1,2,4,2,3,5,1,1,2,2,1996,2,1,230,220,1,5,21.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,17
3218,12793,127903,2,1983,-2,1,1,11,4,2,3,1,4,1,1,1,2000,1,1,240,220,-8,1,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3219,12793,127904,2,1985,-2,1,1,6,4,2,3,1,4,1,1,1,2002,1,1,240,220,-8,1,-2.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3542,14010,140101,1,1914,-2,1,1,-5,-5,2,3,1,1,-2,-2,1,1984,-8,-8,230,-5,-2,-2,17.0,1.0,-2.0,-2.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,70
3543,14010,140102,2,1912,-2,1,1,-5,-5,2,3,1,1,-2,-2,1,1984,-8,-8,230,-5,-2,-2,17.0,1.0,-2.0,-2.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,72
3643,14427,144203,2,1978,-2,1,1,4,3,2,3,1,1,-2,-2,2,1995,1,2,210,10,118,1,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3644,14427,144204,2,1980,-2,1,1,4,3,2,3,1,1,-1,-1,3,1997,1,2,220,10,118,1,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4.0,-2.0,1.0,-2.0,17
3681,14559,145504,1,1976,-2,1,1,5,3,2,3,2,4,2,6,-1,1993,1,2,530,540,14,1,18.0,8.0,-2.0,-2.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3698,14648,146401,1,1959,-2,1,1,-5,-5,2,3,2,2,-2,-2,1,1984,1,1,540,13,22,31,25.0,1.0,-2.0,-2.0,4.0,1.0,-2.0,-2.0,-2.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,25
3767,14907,149003,1,1981,-2,1,1,10,4,2,3,3,4,2,1,1,1998,1,1,432,530,38,1,18.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
3768,14907,149004,2,1984,-2,1,1,7,4,2,3,3,4,2,1,4,2001,1,1,431,530,38,1,25.0,16.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3839,15237,152302,2,1961,-2,1,1,9,4,2,3,4,2,-2,-2,1,1985,2,2,-1,-5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,24
3840,15237,152303,1,1987,-2,1,1,4,3,2,3,1,2,2,1,1,2004,1,2,230,540,1,1,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3869,15318,153104,2,1986,-2,1,1,5,3,2,3,1,1,2,2,1,2003,1,1,220,220,98,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3945,15601,156003,2,1965,-2,1,1,-5,-5,2,3,2,2,-2,6,1,1984,-8,1,-1,530,22,-2,19.0,1.0,-2.0,-2.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,19
3958,15644,156403,2,1983,-2,1,1,9,4,2,3,1,2,1,1,2,2000,1,1,422,530,1,55,19.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3959,15644,156404,1,1985,-2,1,1,11,4,2,3,1,2,1,1,2,2002,1,1,432,522,1,55,-2.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3960,15644,156405,1,1988,-2,1,1,12,3,2,3,1,2,1,1,2,2005,1,1,432,630,1,55,22.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
3998,15806,158003,2,1979,-2,1,1,3,4,2,3,1,1,1,2,3,1996,1,1,230,10,1,-2,20.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,17
4473,17418,174103,2,1957,-2,1,1,-5,-5,2,3,1,1,-2,-2,4,1993,-8,1,-1,13,222,-2,16.0,1.0,-2.0,-2.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,36
4666,18147,181403,1,1982,-2,1,1,9,4,2,3,4,1,2,6,3,1999,1,1,540,530,1,1,21.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
4667,18147,181404,1,1984,-2,1,1,5,4,2,3,4,1,2,6,3,2001,1,1,540,540,1,1,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4687,18201,182003,2,1976,-2,1,1,10,4,2,3,1,4,-2,1,-1,1993,1,1,522,630,1,1,23.0,8.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4688,18201,182004,1,1977,-2,1,1,12,3,2,3,4,4,-2,1,2,1994,1,1,521,630,1,1,20.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4810,18643,186403,1,1977,-2,1,1,12,4,2,3,1,1,1,1,3,1994,1,1,250,10,22,22,17.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4811,18643,186404,2,1985,-2,1,1,9,4,2,3,1,1,1,1,4,2002,1,1,530,10,22,22,,,,,,,,,,,,,,,,,,,,,,,,17
4812,18643,186405,1,1987,-2,1,1,1,4,2,3,1,1,1,1,3,2004,1,1,521,10,22,22,18.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4948,19100,191003,1,1972,-2,1,1,7,4,2,3,2,1,6,3,-1,1989,1,1,530,220,124,124,23.0,8.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4949,19100,191004,1,1973,-2,1,1,2,4,2,3,2,1,6,3,-1,1990,1,1,510,220,124,124,20.0,8.0,-2.0,-2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4955,19127,191203,1,1984,-2,1,1,7,4,2,3,1,2,6,3,4,2001,2,1,220,620,82,14,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
4957,19127,191205,2,1980,-2,1,1,6,4,2,3,4,4,6,3,4,1997,-8,1,530,530,82,-2,19.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
5014,19321,193203,1,1978,-2,1,1,3,3,2,3,1,1,-2,-2,3,1995,1,1,220,10,1,22,20.0,3.0,-2.0,-2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
5015,19321,193204,1,1981,-2,1,1,1,4,2,3,1,1,-1,-1,3,1998,1,1,220,10,1,22,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
5318,20354,203505,2,1990,-2,1,1,6,7,-2,3,4,4,1,2,2,2007,1,1,230,10,1,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
5478,21075,210701,2,1924,-2,1,1,2,4,2,3,1,2,-2,-2,1,1984,-8,-8,-1,-5,-2,-2,23.0,1.0,-2.0,-2.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,60
5486,21105,211003,2,1990,-2,1,1,3,7,-2,3,3,2,2,1,3,2007,1,2,422,530,10,1,19.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
5487,21105,211004,1,1991,-2,1,1,8,7,-2,3,3,2,2,1,3,2008,1,2,422,530,10,1,20.0,16.0,1.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
5488,21105,211005,1,1998,-2,1,1,10,7,-2,3,3,2,2,1,3,2015,1,2,422,530,10,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
