,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
70444,3056332,30563302,2,1981,-2,1,1,2,5,2,3,2,2,1,1,4,2011,1,1,530,530,119,1,25.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,30
70450,3056421,30564202,1,1991,-2,1,1,4,5,-2,3,0,3,1,1,4,2011,1,1,530,530,86,1,19.0,1.0,-2.0,2.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,1.0,2.0,28.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,20
70451,3056421,30564203,2,1994,-2,1,1,1,7,-2,3,0,3,1,1,4,2011,1,1,220,530,86,1,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
70494,3057223,30572203,2,1995,-2,1,1,6,7,-2,3,1,2,2,2,1,2012,1,2,540,530,1,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
70515,3057517,30575102,1,1987,-2,1,1,11,5,3,3,1,1,1,1,2,2011,1,1,431,521,22,1,17.0,1.0,-2.0,2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,24
70523,3057630,30576302,2,1971,-2,1,1,11,5,2,3,2,2,1,1,3,2011,2,1,620,434,1,31,23.0,1.0,-2.0,2.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,2.0,1.0,85.0,3.0,-2.0,-2.0,-2.0,22.0,-2.0,-2.0,-2.0,-2.0,-2.0,40
70540,3058270,30582701,2,1962,-2,1,1,10,5,2,3,1,1,2,1,2,2011,1,2,230,522,11,1,17.0,1.0,-2.0,2.0,3.0,1.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,49
70564,3058610,30586102,1,1982,-2,1,1,4,5,2,3,0,1,1,1,4,2011,1,1,220,220,1,5,19.0,1.0,-2.0,2.0,1.0,1.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,29
70600,3058998,30589903,2,1995,-2,1,1,1,7,-2,3,1,2,1,3,4,2012,1,1,540,530,165,1,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
70612,3059072,30590703,2,1993,-2,1,1,9,5,-2,3,6,2,6,6,4,2011,1,1,12,522,1,5,17.0,4.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,18
70642,3059544,30595401,2,1972,-2,1,1,1,5,2,3,1,1,3,5,2,2011,2,2,434,210,4,4,18.0,1.0,-2.0,2.0,3.0,1.0,-2.0,-2.0,10.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,39
70646,3059552,30595503,1,1996,-2,1,1,11,7,-2,3,5,5,6,6,4,2013,2,2,230,521,120,120,,,,,,,,,,,,,,,,,,,,,,,,17
70689,3059986,30599803,2,1991,-2,1,1,9,5,-2,3,2,2,1,2,3,2011,1,1,230,10,1,1,-2.0,9.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,20
70729,3060542,30605402,2,1952,-2,1,1,3,5,2,3,2,4,2,2,3,2011,1,1,530,540,103,103,18.0,1.0,-2.0,2.0,3.0,1.0,-2.0,-2.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,59
70742,3060704,30607002,2,1953,-2,1,1,9,5,2,3,0,6,1,6,2,2011,1,1,220,220,1,11,17.0,1.0,-2.0,2.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,58
